Semivariogram           tail:Cu(%)					   head:Cu(%)					    direction  1 
   1         .000       .00000      470        4.35299        4.35299
   2        3.664      2.00617       15        6.48740        6.44833
   3       11.411      4.83392      734        5.83091        5.78526
   4       20.381      6.01919      933        5.33090        5.26318
   5       30.346      7.17820      716        5.56218        5.46954
   6       40.830      8.21427      631        5.27297        5.16615
   7       50.118      8.02958      613        5.20649        4.99801
   8       60.435      8.65974      700        5.05067        4.91351
   9       69.829      8.90500      594        5.67132        5.29713
  10       79.659      7.94718      537        5.44289        5.11974
  11       89.463      7.72787      540        5.13115        4.63183
  12       99.409      9.09805      408        5.54725        5.21224
Semivariogram           tail:Cu(%)					   head:Cu(%)					    direction  2 
   1         .000       .00000      470        4.35299        4.35299
   2        3.824      3.50067       91        6.56835        6.89040
   3       10.799      6.13618      828        5.83325        5.54259
   4       19.452      8.62189      901        5.09307        4.77796
   5       29.821     10.41930      626        4.86592        4.46569
   6       40.187     10.76984      539        4.30924        4.15468
   7       49.491     10.64174      401        3.96933        3.96353
   8       60.442      8.43202      465        3.94718        4.02896
   9       69.813      8.85600      342        4.62589        4.43858
  10       79.954      9.22882      293        4.66195        3.68810
  11       90.061      8.69564      391        4.59704        3.43156
  12      100.031     10.60931      264        5.69020        3.31049
