KT3D ESTIMATES WITH:  DataSet					                                              
 2   25   30    1  .10000000      .10000000      .00000000      10.0000      10.0000      1.00000       1
Estimate
EstimationVariance
 1.7789170      8.4435860    
 1.0466490      6.2976250    
 .90198350      7.1838410    
 1.0253700      7.0483740    
 1.9487320      6.5168590    
 4.1690620      6.2742140    
 4.9154560      5.6373330    
 3.7318580      6.1602490    
 3.4114590      7.0230820    
 3.3162130      6.9890450    
 2.9562480      7.2153630    
 2.9955990      6.8511970    
 3.5374890      7.3789490    
 4.0841160      6.3783450    
 3.3349780      7.0484710    
 2.8001040      5.7545790    
 3.0242000      7.2161300    
 3.5638710      5.7773650    
 3.1192250      7.4948760    
 2.9977350      7.0287610    
 2.7562370      7.4020300    
 3.2844560      7.0070440    
 5.2749100      5.5517700    
 5.0602570      6.1029230    
 3.2139630      5.5183990    
 1.4494390      7.8843220    
 .19297530      2.2196190    
 .49453850      6.8345320    
 .39422770      2.0381000    
 1.1938460      1.1939090    
 6.3511340      1.5433120    
 4.5829290      2.1383430    
 4.0596270      1.5981930    
 3.9550420      5.8068030    
 3.7354130      2.0152930    
 3.1377720      6.4342770    
 3.8576850      1.7808990    
 3.7235470      6.7503210    
 5.2843300      1.4702230    
 2.8439750      6.2115000    
 2.7118060      3.7611820    
 3.3172580      6.3490970    
 3.8798950      3.7923620    
 2.9863510      6.9064020    
 3.4019640      1.2137580    
 2.7850930      6.7603940    
 3.5559920      2.0380860    
 7.0063810      2.2360500    
 6.2363460      1.4568560    
 2.7168520      2.5631720    
 1.1905930      7.4932630    
 .41719100      5.6951600    
 .43798830      6.6060120    
 .74178800      4.8632320    
 1.2242680      1.8905460    
 1.9819090      2.0221390    
 .70185080      1.7521890    
 .95353280      1.1724750    
 5.3803340      2.7076720    
 3.3771930      4.9259690    
 3.4711280      6.0774410    
 3.6913550      5.6459840    
 3.4381770      6.4554060    
 2.7018210      5.9959840    
 2.2546820      6.2458330    
 2.8888500      5.6062710    
 3.2874620      6.4687400    
 2.9121170      5.9199990    
 2.6509600      6.3992710    
 2.5740770      5.0596110    
 2.8144810      6.3422780    
 2.7675900      3.7812500    
 7.7504330      3.0150190    
 4.9254160      2.1113160    
 3.4545380      2.9037380    
 1.0246280      7.0108790    
 .35704460      2.9386400    
 1.2242910      6.4013050    
 1.0003700      2.3020210    
 1.6010770      5.4731870    
 1.0658740      2.2733990    
 2.2519990      1.3540440    
 5.9521270      1.5187240    
 6.9682690      2.7062630    
 1.7972420      1.5098790    
 4.5616710      5.2888130    
 2.3610640      1.9527310    
 2.6571080      6.4398610    
 .70572780      2.0128040    
 1.9380460      6.1242400    
 3.1927620      2.3330730    
 3.1118830      6.5761220    
 2.0519600      1.6426720    
 2.2544300      6.4028410    
 2.1385650      2.2093620    
 2.6548440      6.2139370    
 4.6778040      1.8019150    
 5.3491650      5.8497750    
 4.2610750      2.2104570    
 2.8451540      6.1192280    
 1.3732360      7.0381540    
 1.4992940      5.1474030    
 1.8844540      6.3106780    
 2.3912810      5.7259410    
 2.6106460      6.2042120    
 1.5121000      5.2027070    
 .87276910      1.9048410    
 4.8792420      1.1556160    
 5.5845820      2.2083870    
 4.4690560      2.2588720    
 6.0585290      1.9400700    
 3.0576500      4.6438860    
 2.0884170      6.5578960    
 .97488930      4.8105770    
 2.0856670      6.3148650    
 3.0724530      5.5952190    
 3.1212600      6.4594540    
 2.4685990      5.3403090    
 1.8065780      6.5508590    
 1.6617180      5.4621490    
 2.2311800      6.2186530    
 3.8456530      5.5280370    
 4.2932470      6.2905450    
 3.3654480      5.7441950    
 2.7484280      6.3214160    
 1.9698360      7.0449900    
 2.4404770      2.9216530    
 3.1228780      5.5344570    
 3.7041000      2.7180670    
 3.7997310      5.8349020    
 1.5597900      2.1312000    
 1.7697160      5.4545510    
 2.8454820      1.1520060    
 6.5155910      1.3436680    
 6.6441140      1.2927660    
 1.0457800      2.1261600    
 3.4649560      3.2991990    
 2.0032430      6.5339050    
 1.1591980      2.3017000    
 2.7492990      6.5045710    
 3.3913010      1.4683260    
 3.1640500      6.2823530    
 2.4989250      2.3317050    
 1.1478340      6.6580080    
 .66529880      2.2126570    
 2.0018430      6.4150190    
 3.0320810      1.6408510    
 3.5414770      6.4189510    
 2.9546290      .58701500    
 3.0059900      6.2731680    
 2.4303360      7.1747630    
 3.5965680      5.2145190    
 3.5518900      2.4890470    
 7.9468720      2.0519890    
 3.4062260      1.4654690    
 2.1386800      4.7323460    
 2.8151590      6.0819210    
 3.8752250      4.9293170    
 .86484770      1.3606110    
 7.7120130      1.9024320    
 .27314710      .57872940    
 2.7330270      5.1472440    
 2.3723130      6.4908870    
 2.6092100      5.7273200    
 3.3468270      6.6199310    
 4.0163070      5.6620420    
 3.1117210      6.1886000    
 1.4258920      5.4470340    
 1.0519090      6.6988390    
 .66186090      5.5827310    
 2.0237800      6.3077950    
 3.1601610      5.5952130    
 3.2984970      6.3519410    
 2.7947940      5.6907110    
 3.1486790      6.4273330    
 3.1410430      6.8963990    
 4.5713930      3.1440610    
 3.8769610      1.5534330    
 8.6405180      1.9420690    
 1.4381660      1.1423510    
 1.6374340      2.7848270    
 3.8695030      5.4977750    
 4.7307040      2.8123230    
 6.0722310      1.5551630    
 6.4526470      1.8809830    
 4.0054120      1.9804600    
 2.5841130      2.9282340    
 2.7538790      6.2732980    
 3.6892860      2.9553100    
 3.7430040      6.6844210    
 5.1068950      1.6444930    
 3.0191050      5.9862140    
 .64380400      3.3161640    
 1.2331240      6.6925570    
 .24785490      1.4612030    
 2.2515950      5.1426770    
 4.0546260      .58289200    
 3.4626900      5.8940810    
 2.3136280      1.2001310    
 2.7208140      6.5644730    
 3.3198580      7.1460680    
 5.3947070      4.9719560    
 9.4990770      2.2154370    
 5.1994190      2.3463310    
 2.0969590      1.7653650    
 5.7096600      1.1242860    
 3.9303740      1.1734250    
 3.6215960      5.2523970    
 5.7362140      1.9041550    
 5.8278140      1.3975160    
 3.9719390      2.1740820    
 2.6127020      5.1026150    
 2.9356820      6.3898270    
 3.0272510      5.7352910    
 3.6709580      6.5999630    
 4.4128210      5.4304730    
 3.3888980      6.2145300    
 2.6503590      6.0081270    
 2.1299800      6.6483880    
 1.8847590      5.2105380    
 3.3370540      3.2963480    
 4.7732660      2.7585840    
 2.8338930      1.1958040    
 1.9912250      5.3155330    
 2.3241160      6.6266850    
 3.4178930      7.1779550    
 4.5819150      1.6367960    
 6.1326130      1.4350780    
 4.5451290      2.7558540    
 3.5096320      1.4294970    
 7.1526680      1.9881700    
 4.5591090      1.7644420    
 1.0283960      1.6459740    
 5.5671510      1.3571950    
 8.2968200      1.7208470    
 4.0449060      1.1722830    
 2.4006770      3.7406060    
 2.7781500      6.3950630    
 2.4471580      1.8398750    
 3.3022720      6.4901680    
 5.2387970      1.4655570    
 4.0957060      6.1684810    
 4.3648760      2.7963060    
 3.0369830      6.5187740    
 3.2855410      1.4181510    
 6.7792800      2.3365870    
 7.7456460      1.6233010    
 2.7277150      2.6852480    
 .49367920      1.7699150    
 2.1126480      6.6496490    
 3.4991970      7.2756480    
 5.2312180      5.4104940    
 5.9434010      1.4991320    
 5.5392910      1.9387750    
 5.0159990      1.3854140    
 5.1306010      1.7377530    
 3.5156910      1.7174540    
 3.3900300      5.0327600    
 3.3867620      1.9955170    
 7.3449780      1.4739910    
 5.5974500      1.4195960    
 3.3785220      5.3937270    
 2.4793330      6.2214940    
 1.5758310      5.5250100    
 2.8926420      6.3308720    
 4.3138920      5.4818570    
 4.1760810      6.1911480    
 4.1874730      5.5766200    
 3.6409600      6.3560510    
 3.9841270      4.8797040    
 6.8418070      2.3124900    
 7.1331280      1.4335410    
 4.7237990      1.5204230    
 2.3755810      5.3766880    
 1.8953940      6.4948030    
 3.4133530      7.3754350    
 5.7876080      .58560240    
 4.8556750      5.6745830    
 4.8232690      .58436390    
 4.4463850      5.6946230    
 4.3782710      1.6337690    
 3.0006550      5.3142380    
 3.6856080      2.4386120    
 8.9636290      1.9372180    
 8.0443040      1.7912180    
